BI ABGH 54.7993 36.7350  1263
BI AHRM 51.2971 28.8653    80
BI ASAO 50.0255 34.5479  2217
BI BJRD 57.4107 37.7000  1337
BI BNDS 56.1714 27.3994  1500
BI BSRN 59.1259 31.9651  1416
BI CHBR 60.4821 25.5955   125
BI CHTH 51.1259 35.9078  2350
BI DAMV 51.9710 35.6303  2300
BI GHIR 52.9867 28.2856  1200
BI GHVR 51.2453 34.4800   927
BI GIDE 49.8258 36.9230  1836
BI GRMI 47.8938 38.8081  1300
BI GTMR 49.1123 32.4705   482
BI ILBA 46.2075 33.6245   805
BI JSSH 57.3872 25.9093    31
BI KAGH 59.9582 36.9381  1424
BI KHMZ 49.9642 33.7396  1985
BI KHRK 50.3133 29.2543    36
BI KRBR 56.7604 29.9824  2576
BI MAKU 44.6835 39.3549  1730
BI MRVT 56.0892 37.6593   870
BI NASN 52.8083 32.7992  2379
BI RMKL 49.8090 30.9820   176
BI SHGR 48.8014 32.1084   150
BI SHRO 56.0129 36.0085  1264
BI SHRT 60.2910 33.6462   837
BI SNGE 47.3470 35.0925  1940
BI SRSL 45.4339 36.2122  1747
BI TABS 57.1190 33.6490  1106
BI THKV 50.8788 35.9157  1795
BI YZKH 54.5916 32.3901  2226
BI ZHSF 60.7668 29.6108  1575
BI ZNJK 48.6850 36.6709  2200
